run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_gemini_20260914T185407503115,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H01_service_status_routing,False,wrong_tool,,check_service_status,check_service_status,True,True,True,
v0_B_base_gemini_20260914T185407503115,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H02_device_routing,False,wrong_tool,,inspect_device,inspect_device,True,True,True,
v0_B_base_gemini_20260914T185407503115,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H03_kb_routing,False,wrong_tool,,search_kb,search_kb,True,True,True,
v0_B_base_gemini_20260914T185407503115,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H04_user_routing,False,wrong_tool,provider_error,lookup_user,,False,False,False,"ClientError: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource has been exhausted (e.g. check quota).', 'status': 'RESOURCE_EXHAUSTED'}}"
v0_B_base_gemini_20260914T185407503115,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H05_device_check_arg,False,wrong_arg_value,,inspect_device,inspect_device,True,True,True,
v0_B_base_gemini_20260914T185407503115,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H06_environment_arg,False,wrong_arg_value,provider_error,check_service_status,,False,False,False,"ClientError: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource has been exhausted (e.g. check quota).', 'status': 'RESOURCE_EXHAUSTED'}}"
v0_B_base_gemini_20260914T185407503115,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H07_format_report,False,wrong_arg_value,provider_error,format_incident_report,,False,False,False,"ClientError: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource has been exhausted (e.g. check quota).', 'status': 'RESOURCE_EXHAUSTED'}}"
v0_B_base_gemini_20260914T185407503115,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H08_out_of_scope,False,out_of_scope,provider_error,no_tool,,False,False,False,"ClientError: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-3.5-flash\nPlease retry in 5.930227006s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-3.5-flash', 'location': 'global'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '5s'}]}}"
v0_B_base_gemini_20260914T185407503115,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H09_meta_no_tool,False,unnecessary_tool,provider_error,no_tool,,False,False,False,"ClientError: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource has been exhausted (e.g. check quota).', 'status': 'RESOURCE_EXHAUSTED'}}"
v0_B_base_gemini_20260914T185407503115,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H10_missing_asset,False,missing_info,provider_error,clarify,,False,False,False,"ClientError: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-3.5-flash\nPlease retry in 4.600658865s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.5-flash'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '4s'}]}}"
v0_B_base_gemini_20260914T185407503115,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H11_missing_employee,False,missing_info,,clarify,clarify,True,True,True,
v0_B_base_gemini_20260914T185407503115,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H12_confirm_before_ticket,False,wrong_boundary,missing_tool_call,clarify,policy,False,False,False,missing tool call clarify; extra tool call policy
v0_B_base_gemini_20260914T185407503115,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H13_parallel_status_and_device,False,wrong_tool,provider_error,check_service_status|inspect_device,,False,False,False,"ClientError: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-3.5-flash\nPlease retry in 58.791895779s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.5-flash'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '58s'}]}}"
